Label,Core,Core type,Surface modification,Modification type,Shape,Primary size,DLS size in water (nm),Zeta potential in water (mV),PdI in water,DLS size in dispersion medium (nm),Zeta potential in dispersion medium (mV),PdI in dispersion medium,Dispersion medium,NM concentration,Incubation protein source,Protein source organism,Protein source concentration,Incubation culture,Incubation time (h),Incubation temperature (℃),Incubation flow condition,Incubation flow speed,Incubation setting,Separation method,Centrifugation speed,Centrifugation time (min),Centrifugation temperature (℃),Centrifugation repetitions,Proteomic depth,x_index,Accession,RPA,Affinity_Category,Fill status,Box-Cox RPA
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CEPS_1,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0,P18428,0.0051908844796454,1,0,-5.223634595368116
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CEPS_2,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,1,P18428,0.0050722685858644,1,0,-5.246423533141373
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CEPS_3,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,2,P18428,0.0067688586593732,1,0,-4.961858885434358
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CPS1_1,Polystyrene,Polymer-based,None,N/A,Spherical,100.0 nm,89.2 nm,-52.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,3,P18428,0.035492353307002,1,0,-3.323425208228231
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CPS1_2,Polystyrene,Polymer-based,None,N/A,Spherical,100.0 nm,114.4 nm,-35.2,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,4,P18428,0.0331465608043655,1,0,-3.3911831921852427
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CPS1_3,Polystyrene,Polymer-based,None,N/A,Spherical,100.0 nm,146.2 nm,-50.0,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,5,P18428,0.0318269750237561,1,0,-3.4314334814628324
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; CEPS_avg,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,6,P18428,0.0056773369644712,1,0,-5.135310131555403
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; CPS1_avg,Polystyrene,Polymer-based,None,N/A,Spherical,100.0 nm,116.6 nm,-45.87,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,7,P18428,0.0056773369644712,1,0,-5.135310131555403
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CEPS_1,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,0,P20851,0.0191031739747042,1,0,-3.9368114466721096
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CEPS_2,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,1,P20851,0.015625019541256,1,0,-4.135600504522136
after_x_collect\10.1016_j.bios.2025.117463\X_zero.xlsx; Normalized abundance_CEPS_3,Polystyrene,Polymer-based,COOH,Anionic,Spherical,100.0 nm,107.0 nm,-48.4,Unknown,Unknown,Unknown,Unknown,Unknown,200 mg/L,Human serum,Human,0.4 mg/L,PBS,1.0,25.0,Flow,Unknown,In vitro,Centrifugation,16000 g,10.0,Unknown,3,0-500,2,P20851,0.00858970658626,1,0,-4.726745269280467
